block,NumSp,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
R8_b4,8,2418.7131999999997,2144.8176000000003,1660.3759999999997,1411.6219,1338.5946,1125.6311,959.0762000000001,426.20199999999994,298.6602,912.3660000000002,493.51099999999997,697.598,511.99000000000007,601.17201,608.2789999999999,578.556,530.0930000000001,556.369,483.361,387.61500000000007,387.462,311.566
R8_b5,8,2136.4136,1725.0589,1260.2689999999998,1082.7341000000001,950.2839,882.5304,688.6464,372.455,267.48889999999994,769.4250000000001,464.51800000000003,591.6899999999999,504.09,560.76,563.048,536.903,478.4309999999999,516.2090000000001,421.02799999999996,313.74899999999997,316.601,274.41299999999995
R8_b6,8,2413.6001,2051.3280000000004,1682.6401,1493.5143,1258.4508,1098.7546,841.4404999999999,451.401,274.93,927.9369999999999,576.798,692.773,528.637,581.08201,588.908,609.151,513.219,593.017,457.212,357.831,359.37600000000003,308.36
R8_b7,8,1915.8737,1624.9635,1237.5194,1111.5531,946.6172,923.8646999999999,753.2904000000001,400.45599999999996,256.29440000000005,807.479,451.3299999999999,599.281,479.91399999999993,494.83000000000004,530.321,519.1070000000001,445.66999999999996,526.729,415.322,327.94200000000006,310.239,278.178
R8_b8,8,2266.3100000000004,1998.9718999999998,1603.4512,1342.3636000000001,1176.5453000000002,1233.2018,958.0195,467.45200000000006,302.9352,931.932,500.61299999999994,718.284,514.818,584.65701,577.0830000000001,579.725,566.859,556.302,451.227,356.46100000000007,353.16700000000003,322.914
R8_b9,8,1746.0937000000001,1578.9907,1199.5741,1021.3826999999998,923.4952000000001,995.1492999999998,741.4339,368.648,224.73420000000002,736.2710000000001,458.79400000000004,615.382,510.49399999999997,527.762,522.188,525.421,501.38,547.37,417.496,306.498,296.307,270.83599999999996
R8_b10,8,2283.7631000000006,1998.0063999999998,1666.4575999999997,1286.5210000000002,1267.1362000000001,1092.6245000000001,880.7377999999999,414.91,311.8129,924.3729999999999,512.754,675.6339999999999,519.0799999999999,579.7990100000001,552.5760000000001,555.5089999999999,478.029,491.12800000000004,455.221,359.521,361.34499999999997,296.632
R8_b11,8,2059.8265,1635.6263000000001,1386.2174000000002,1137.2719000000002,1019.3811999999998,923.2693999999999,758.7746999999999,340.159,210.33470000000003,833.0,477.48499999999996,601.5129999999999,483.82700000000006,514.6780100000001,507.20400000000006,551.031,466.14099999999996,519.1340000000001,374.74,276.773,280.158,263.66999999999996
R8_b12,8,1882.9232999999997,1759.9792000000002,1311.6097,1104.3547999999998,1043.6833000000001,951.9731999999998,746.0251,370.889,222.689,764.1690000000001,442.227,594.954,450.96999999999997,571.473,577.476,543.257,523.217,595.251,462.2389999999999,357.138,348.144,284.53100000000006
R8_b13,8,2111.7503,1755.1479,1369.6189,1150.7836000000002,1048.1521,1042.2886,811.3824000000001,428.4339999999999,310.26610000000005,841.1060000000001,498.94399999999985,658.232,517.632,532.027,555.6980000000001,551.923,504.05100000000004,545.204,449.88700000000006,380.26300000000003,345.72800000000007,300.91499999999996
