plot,NumSp,Yn,Omega2,Delta2,I2_obs,Phi2_obs,I2_scalar,I2_cdsm,Phi2_scalar,Phi2_cdsm
R4_b10,4,590.9752941176471,0.07874083518968655,0.37157074721777195,0.3608185917013118,0.3603954181422929,0.6642141894212065,0.33795736908521623,0.6361732667532054,0.3603954181422929
R4_b11,4,522.1783423529412,0.30607356097096894,0.33275667923420627,0.365693003315128,0.5145086705344264,0.7425547919949005,0.3552831257450034,0.6910544778683616,0.37687124118025284
R4_b12,4,612.9855705882353,0.1327170574315505,0.06622739916873965,0.3398675623348596,0.5335080577225371,0.6338061005734592,0.3329434324249395,0.24378888238216306,0.3977728215788441
R4_b13,4,568.8707058823529,0.17627768617328743,0.49157742488208145,0.4189090613693588,0.42398915829317985,0.7148248542469358,0.3007911151094611,0.787073123805992,0.33255271899890004
R4_b14,4,582.0996058823529,0.30874855428269954,0.0945070957199472,0.3538340864383053,0.4348774835210383,0.7122156044116469,0.4135617635245873,0.4332309120875512,0.4348774835210383
R4_b15,4,516.4825764705884,0.28832096129704887,0.17984147709750942,0.36586077821252216,0.4400712885502729,0.7159509369472674,0.4068669947328868,0.5212819759119445,0.43758552620384494
R4_b16,4,540.3995352941175,0.2780255362478484,0.40907418118482763,0.3916240780483632,0.5713812659372141,0.7411999958362527,0.3668404814832882,0.7478913376340522,0.39270204013869003
R4_b17,4,471.88163529411764,0.279338208417619,0.0001870219336153056,0.38246323472625765,0.5981874467572739,0.6855068184707571,0.3197082595216234,0.2796077423343736,0.34843314022492033
R4_b18,4,491.7818411764706,0.26548617988944967,0.18288106362260814,0.3821807756247314,0.5993272985595611,0.7072734466391766,0.3960027260296477,0.5095773474232058,0.42934728841326386
R4_b19,4,648.8594529411765,0.2786737637291472,0.3753630995000937,0.3748887809271907,0.3801513636955749,0.737535100463717,0.3253108389335595,0.7185592353508907,0.3473633603985318
R8_b0,8,633.7960588235294,0.018240280112372553,0.2955315429354457,0.3738021377829859,0.4566745305805826,0.629390636927493,0.34732461957507843,0.5127764027337403,0.4197074063442007
R8_b1,8,620.9070123529411,-0.048334734021426407,0.4052581783002762,0.3738507329548355,0.5650487395469346,0.6235828509564009,,0.6291853080731309,
R8_b2,8,653.237405882353,-0.0208942233135867,0.44025826080061115,0.352687036112486,0.5605042033227465,0.6389479151537235,,0.6801427992711883,
R8_b3,8,684.6683005882353,-0.30891279564398677,0.30192906262833663,0.29017793751770715,0.22173248132860823,0.5073757398376306,,0.36216282396096355,
R8_b4,8,760.4580770588234,-0.18338926245840304,0.27641865292226164,0.30592596998148636,0.23975227513237896,0.5492204805571141,,0.38041292428061046,
R8_b5,8,648.0981882352942,0.05543508240381778,0.29000876322119895,0.3308530656708055,0.5337346759330912,0.6425019141109953,0.349290747300977,0.5238565789196873,0.41272897356547955
R8_b6,8,750.8907064705883,-0.2408588700064136,0.20297925741985479,0.3081816545295806,0.3240559655943851,0.5103127853792664,,0.2117542501566021,
R8_b7,8,634.9600823529413,0.05102803405501766,0.2090521153865601,0.36915542052507444,0.5091705347961941,0.6266076759168443,0.3334701490382296,0.40632450825476557,0.4036386020523717
R8_b8,8,749.5544005882354,-0.13920590519066178,0.30576013422214343,0.3380030329122513,0.4303403474428662,0.5720163913836792,,0.45093807906600974,
R8_b9,8,627.5653117647059,0.08852707835808771,0.3115186403861714,0.4003499051039767,0.5284476648284735,0.6584936110297657,0.3133187922561358,0.5679558353386818,0.35810487894566734
R8_b10,8,726.7416770588236,-0.29305357406262256,0.40431005873653014,0.31161020261372707,0.2564145693030948,0.5355201081639572,,0.541164457014698,
R8_b11,8,642.1924417647059,-0.15857009495589636,0.3345929424067414,0.3220766430681151,0.41265462857394886,0.5705370554026044,,0.48702391346438184,
